^SPX (Standard & Poors 500 Index),2933.68,0.0001,,,,,,,,,,,
Apr 24 2019 @ 05:45 ET,Bid,2904.86,Ask,2953.74,Size,1x1,Vol,,,,,,
SPXW190513C02830000,0,0,109.6,112.5,0,0,SPXW190513P02830000,7.55,-1.2,5.8,6.4,10,94
SPXW190513C02835000,0,0,105.2,108.1,0,0,SPXW190513P02835000,7.77,-1.58,6.1,6.7,1,831
SPXW190513C02840000,0,0,100.6,103.4,0,2,SPXW190513P02840000,6.7,-3.25,6.5,7.1,21,56
SPXW190513C02845000,0,0,95.8,98.8,0,2,SPXW190513P02845000,8.8,-1.75,6.9,7.5,17,45
SPXW190513C02850000,0,0,91.2,94,0,0,SPXW190513P02850000,9.45,-1.8,7.3,8,2,712
SPXW190513C02855000,0,0,87,89.7,0,0,SPXW190513P02855000,0,0,7.8,8.5,0,62
SPXW190513C02860000,0,0,82.3,85.2,0,2,SPXW190513P02860000,8.4,-4.45,8.3,9,9,48
SPXW190513C02865000,0,0,78.1,80.7,0,3,SPXW190513P02865000,9.4,-4.35,8.8,9.5,17,53
SPXW190513C02870000,59.1,5.6,73.5,76.3,1,4,SPXW190513P02870000,9.55,-5.2,9.4,10.1,39,166
SPXW190513C02875000,0,0,69.4,71.9,0,11,SPXW190513P02875000,10.25,-5.6,10.1,10.8,28,40
SPXW190513C02880000,0,0,65.2,67.6,0,3,SPXW190513P02880000,10.85,-6.2,10.8,11.6,4,21
SPXW190513C02885000,0,0,61,63.4,0,8,SPXW190513P02885000,12.2,-6.15,11.5,12.3,14,19
SPXW190513C02890000,58,19.5,56.9,59.2,1,6,SPXW190513P02890000,12.7,-7.05,12.4,13.2,15,55
SPXW190513C02895000,42.36,7.26,52.9,55.1,2,32,SPXW190513P02895000,13.47,-7.83,13.3,14.1,39,196
SPXW190513C02900000,0,0,48.8,50.9,0,214,SPXW190513P02900000,14.23,-8.77,14.3,15.3,58,195
SPXW190513C02905000,35.6,7,45,47,2,85,SPXW190513P02905000,20.65,-4.15,15.4,16.3,5,79
SPXW190513C02910000,42.88,17.28,41.3,43.2,7,122,SPXW190513P02910000,16.4,-10.4,16.5,17.6,57,84
SPXW190513C02915000,28.5,5.7,37.7,39.5,9,880,SPXW190513P02915000,18.3,-10.7,18,19.1,2,143
SPXW190513C02920000,34.7,14.55,34.3,36,25,83,SPXW190513P02920000,19.4,-11.9,19.3,20.6,37,39
SPXW190513C02925000,31.4,13.7,31,32.7,13,32,SPXW190513P02925000,21.23,-12.67,21.1,22.2,2,7
SPXW190513C02930000,29.1,13.7,27.9,29.5,173,248,SPXW190513P02930000,23.1,-13.5,22.7,24.2,3,10
SPXW190513C02935000,25,11.65,24.9,26.3,32,135,SPXW190513P02935000,25.3,-14.2,24.8,26.2,1,1
SPXW190513C02940000,21.5,10.05,22.2,23.5,74,105,SPXW190513P02940000,26.5,-16.1,26.9,28.5,10,5
SPXW190513C02945000,19.43,9.63,19.7,20.9,20,224,SPXW190513P02945000,0,0,29.1,30.9,0,0
SPXW190513C02950000,18.1,9.8,17.2,18.4,100,142,SPXW190513P02950000,0,0,31.6,33.4,0,50
SPXW190513C02955000,14.8,7.8,15,16.1,33,85,SPXW190513P02955000,35.1,-18,34.4,36.4,40,11
SPXW190513C02960000,12.83,6.98,13.1,14,20,584,SPXW190513P02960000,0,0,37.2,39.3,0,4
SPXW190513C02965000,11.01,6.16,11.3,12.2,36,1526,SPXW190513P02965000,0,0,40.2,42.7,0,0
SPXW190513C02970000,5.81,1.76,9.7,10.5,13,188,SPXW190513P02970000,0,0,43.5,46.1,0,0
SPXW190513C02975000,8.2,4.85,8.2,9,70,134,SPXW190513P02975000,0,0,47,49.5,0,0
SPXW190513C02980000,6.98,4.23,7,7.7,4,10,SPXW190513P02980000,0,0,50.6,53.5,0,0
SPXW190513C02985000,3.6,1.3,5.9,6.6,2150,2226,SPXW190513P02985000,0,0,54.7,57.4,0,0
SPXW190513C02990000,5.2,3.3,4.9,5.6,32,132,SPXW190513P02990000,0,0,58.4,61.5,0,0
SPXW190513C02995000,4.7,0,4.1,4.7,8,8,SPXW190513P02995000,0,0,62.5,65.7,0,0
SPXW190513C03000000,1.9,0.6,3.4,4,200,516,SPXW190513P03000000,0,0,67,70,0,0
SPXW190513C03005000,1.59,0,2.85,3.3,3,3,SPXW190513P03005000,0,0,71.3,74.4,0,0
SPXW190513C03010000,0,0,2.35,2.75,0,84,SPXW190513P03010000,0,0,75.8,79,0,0
SPXW190513C03015000,0,0,1.9,2.35,0,0,SPXW190513P03015000,0,0,80.3,83.5,0,0
SPXW190513C03020000,1.65,0.975,1.6,1.95,36,32,SPXW190513P03020000,0,0,85,88.2,0,0
SPXW190513C03025000,1.43,0.83,1.3,1.65,40,45,SPXW190513P03025000,0,0,89.4,92.9,0,0
SPXW190513C03030000,1.14,0.615,1.05,1.4,13,38,SPXW190513P03030000,0,0,94.1,97.5,0,0
SPXW190513C03035000,0.99,0,0.9,1.2,13,13,SPXW190513P03035000,0,0,98.9,102.3,0,0
SPXW190513C03040000,0,0,0.75,1,0,0,SPXW190513P03040000,0,0,103.7,107.1,0,0
SPXW190513C03045000,0,0,0.6,0.9,0,0,SPXW190513P03045000,0,0,108.6,112,0,0
SPXW190513C03050000,0,0,0.5,0.75,0,123,SPXW190513P03050000,0,0,113.5,116.9,0,0
SPXW190513C03060000,0,0,0.35,0.6,0,0,SPXW190513P03060000,0,0,123.3,126.7,0,0
SPXW190513C03070000,0,0,0.25,0.5,0,0,SPXW190513P03070000,0,0,133.1,136.6,0,0
SPXW190513C03075000,0,0,0.25,0.45,0,22,SPXW190513P03075000,0,0,138.1,141.5,0,0
SPXW190513C03080000,0,0,0.2,0.4,0,0,SPXW190513P03080000,0,0,143,146.5,0,0
SPXW190513C03090000,0,0,0.15,0.35,0,0,SPXW190513P03090000,0,0,153,156.4,0,0
SPXW190513C03100000,0,0,0.1,0.3,0,106,SPXW190513P03100000,0,0,162.9,166.4,0,0
SPXW190513C03110000,0,0,0.1,0.3,0,0,SPXW190513P03110000,0,0,172.9,176.3,0,0
SPXW190513C03125000,0.15,0,0.05,0.25,10,10,SPXW190513P03125000,0,0,187.8,191.3,0,0
SPXW190513C03150000,0,0,0.05,0.2,0,10,SPXW190513P03150000,0,0,212.7,216.2,0,0
SPXW190513C03175000,0,0,0,0.2,0,0,SPXW190513P03175000,0,0,237.7,241.2,0,0
SPXW190513C03200000,0,0,0,0.15,0,208,SPXW190513P03200000,0,0,262.6,266.1,0,0
SPXW190513C03250000,0,0,0,0.15,0,0,SPXW190513P03250000,0,0,312.6,316,0,0
SPXW190513C03300000,0,0,0,0.1,0,0,SPXW190513P03300000,0,0,362.5,365.9,0,0
SPXW190513C03400000,0,0,0,0.1,0,0,SPXW190513P03400000,0,0,462.3,465.8,0,0
SPXW190515C01800000,0,0,1131.6,1135.1,0,0,SPXW190515P01800000,0,0,0,0.1,0,104
SPXW190515C01900000,0,0,1031.8,1035.3,0,0,SPXW190515P01900000,0,0,0,0.1,0,217
SPXW190515C01950000,0,0,981.9,985.3,0,0,SPXW190515P01950000,0,0,0,0.15,0,25
SPXW190515C02000000,0,0,932,935.4,0,0,SPXW190515P02000000,0,0,0,0.15,0,3674
SPXW190515C02050000,0,0,882,885.5,0,0,SPXW190515P02050000,0,0,0,0.15,0,5625
SPXW190515C02100000,0,0,832.1,835.6,0,0,SPXW190515P02100000,0,0,0,0.15,0,6
SPXW190515C02150000,0,0,782.2,785.7,0,0,SPXW190515P02150000,0.1,-0.05,0,0.2,1,9
SPXW190515C02200000,0,0,732.3,735.8,0,0,SPXW190515P02200000,0.1,-0.05,0.05,0.2,15,15
SPXW190515C02250000,0,0,682.4,685.9,0,0,SPXW190515P02250000,0.15,-0.05,0.05,0.25,30,32
SPXW190515C02300000,0,0,632.5,636,0,0,SPXW190515P02300000,0.2,-0.05,0.1,0.25,10,19
SPXW190515C02325000,0,0,607.6,611,0,0,SPXW190515P02325000,0,0,0.1,0.3,0,0
SPXW190515C02350000,0,0,582.6,586.1,0,0,SPXW190515P02350000,0,0,0.15,0.35,0,0
SPXW190515C02375000,0,0,557.7,561.2,0,0,SPXW190515P02375000,0,0,0.15,0.35,0,10
SPXW190515C02400000,0,0,532.8,536.2,0,0,SPXW190515P02400000,0,0,0.2,0.4,0,0
SPXW190515C02425000,0,0,507.9,511.3,0,0,SPXW190515P02425000,0,0,0.25,0.45,0,0
SPXW190515C02450000,0,0,482.9,486.4,0,0,SPXW190515P02450000,0,0,0.3,0.5,0,0
SPXW190515C02475000,0,0,458,461.5,0,0,SPXW190515P02475000,0,0,0.35,0.6,0,0
SPXW190515C02500000,0,0,433.2,436.6,0,0,SPXW190515P02500000,0,0,0.45,0.65,0,0
SPXW190515C02525000,0,0,408.3,411.7,0,0,SPXW190515P02525000,0.75,-0.15,0.55,0.75,7,43
SPXW190515C02550000,0,0,383.5,386.9,0,0,SPXW190515P02550000,0,0,0.65,0.9,0,0
SPXW190515C02575000,0,0,358.6,362.1,0,0,SPXW190515P02575000,0.95,-0.275,0.8,1.05,12,32
SPXW190515C02590000,0,0,343.8,347.2,0,0,SPXW190515P02590000,1.2,-0.175,0.9,1.15,2,29
SPXW190515C02600000,0,0,333.8,337.3,0,0,SPXW190515P02600000,1.15,-0.325,0.95,1.2,11,53
SPXW190515C02610000,0,0,323.9,327.4,0,0,SPXW190515P02610000,0,0,1.05,1.3,0,184
SPXW190515C02620000,0,0,314,317.5,0,0,SPXW190515P02620000,0,0,1.1,1.4,0,32
SPXW190515C02625000,0,0,309.1,312.5,0,0,SPXW190515P02625000,1.4,-0.325,1.15,1.45,2,2
SPXW190515C02630000,0,0,304.2,307.6,0,0,SPXW190515P02630000,1.45,-0.35,1.2,1.5,2,12
SPXW190515C02640000,0,0,294.3,297.7,0,0,SPXW190515P02640000,0,0,1.3,1.6,0,87
SPXW190515C02650000,0,0,284.4,287.8,0,0,SPXW190515P02650000,0,0,1.4,1.7,0,5
SPXW190515C02660000,0,0,274.5,277.9,0,0,SPXW190515P02660000,0,0,1.5,1.85,0,11
SPXW190515C02670000,0,0,264.7,268,0,0,SPXW190515P02670000,0,0,1.65,1.95,0,9
SPXW190515C02675000,0,0,259.7,263.1,0,0,SPXW190515P02675000,1.95,-0.55,1.7,2.05,10,10
SPXW190515C02680000,0,0,254.8,258.2,0,0,SPXW190515P02680000,0,0,1.8,2.1,0,0
SPXW190515C02690000,0,0,245,248.3,0,0,SPXW190515P02690000,0,0,1.95,2.25,0,11
SPXW190515C02700000,0,0,235.2,238.5,0,0,SPXW190515P02700000,0,0,2.1,2.45,0,150
SPXW190515C02710000,0,0,225.2,228.5,0,1,SPXW190515P02710000,2.45,-0.85,2.25,2.6,15,419
SPXW190515C02720000,0,0,215.4,218.9,0,0,SPXW190515P02720000,0,0,2.45,2.85,0,4
SPXW190515C02725000,0,0,210.7,214,0,0,SPXW190515P02725000,0,0,2.55,2.95,0,250
SPXW190515C02730000,0,0,205.9,209.1,0,0,SPXW190515P02730000,0,0,2.65,3.1,0,3
SPXW190515C02735000,0,0,200.8,204,0,0,SPXW190515P02735000,0,0,2.8,3.2,0,2
SPXW190515C02740000,0,0,195.9,199.4,0,0,SPXW190515P02740000,3.3,-0.9,2.9,3.3,6,237
SPXW190515C02745000,0,0,191.3,194.5,0,0,SPXW190515P02745000,0,0,3,3.5,0,18
SPXW190515C02750000,0,0,186.2,189.4,0,0,SPXW190515P02750000,0,0,3.1,3.6,0,732
SPXW190515C02755000,0,0,181.4,184.6,0,0,SPXW190515P02755000,0,0,3.3,3.8,0,7
SPXW190515C02760000,0,0,176.5,179.7,0,0,SPXW190515P02760000,3.65,-1.4,3.4,3.9,15,47
SPXW190515C02765000,0,0,172,175.1,0,0,SPXW190515P02765000,0,0,3.6,4.1,0,25
SPXW190515C02770000,0,0,167.1,170.3,0,0,SPXW190515P02770000,0,0,3.8,4.3,0,0
SPXW190515C02775000,0,0,162.1,165.5,0,2,SPXW190515P02775000,0,0,3.9,4.5,0,395
SPXW190515C02780000,0,0,157.3,160.7,0,2,SPXW190515P02780000,4.38,-1.67,4.1,4.7,525,1346
SPXW190515C02785000,0,0,152.8,155.9,0,0,SPXW190515P02785000,0,0,4.3,4.9,0,13
SPXW190515C02790000,0,0,147.8,150.9,0,0,SPXW190515P02790000,0,0,4.6,5.1,0,27
SPXW190515C02795000,0,0,143.3,146.3,0,0,SPXW190515P02795000,0,0,4.8,5.3,0,159
SPXW190515C02800000,0,0,138.3,141.6,0,0,SPXW190515P02800000,5.53,-1.87,5,5.6,80,81
SPXW190515C02805000,0,0,133.6,136.6,0,0,SPXW190515P02805000,0,0,5.3,5.8,0,732
SPXW190515C02810000,0,0,128.9,131.9,0,0,SPXW190515P02810000,5.6,-2.6,5.6,6.1,961,1113
SPXW190515C02815000,0,0,124.2,127.4,0,0,SPXW190515P02815000,0,0,5.9,6.4,0,1554
SPXW190515C02820000,0,0,119.8,122.7,0,2,SPXW190515P02820000,0,0,6.1,6.7,0,203
SPXW190515C02825000,0,0,115.1,118,0,2,SPXW190515P02825000,7.18,-2.47,6.5,7.1,84,298
SPXW190515C02830000,101.4,12.9,110.3,113.4,4,4,SPXW190515P02830000,0,0,6.8,7.5,0,388
SPXW190515C02835000,0,0,105.7,108.5,0,0,SPXW190515P02835000,7.33,-3.47,7.2,7.8,553,896
SPXW190515C02840000,0,0,101.1,103.9,0,3,SPXW190515P02840000,8.05,-3.4,7.6,8.3,36,359
SPXW190515C02845000,0,0,96.8,99.6,0,0,SPXW190515P02845000,8.2,-3.95,8.1,8.8,14,238
SPXW190515C02850000,0,0,92.1,94.8,0,0,SPXW190515P02850000,8.95,-3.95,8.5,9.2,97,124
SPXW190515C02855000,0,0,87.7,90.5,0,0,SPXW190515P02855000,0,0,9,9.7,0,5
SPXW190515C02860000,0,0,83.3,85.9,0,3,SPXW190515P02860000,10.05,-4.6,9.6,10.3,22,595
SPXW190515C02865000,0,0,79.1,81.7,0,1,SPXW190515P02865000,10,-5.55,10.2,10.9,961,965
SPXW190515C02870000,75.75,20.8,74.8,77.3,7,4,SPXW190515P02870000,10.75,-5.85,10.8,11.6,53,405
SPXW190515C02875000,0,0,70.3,73,0,1,SPXW190515P02875000,11.55,-6.2,11.5,12.3,75,384
SPXW190515C02880000,0,0,66.3,68.7,0,2,SPXW190515P02880000,12.52,-6.43,12.3,13.1,2,216
SPXW190515C02885000,0,0,62.2,64.5,0,3,SPXW190515P02885000,13.38,-6.92,13.1,13.9,2,9
SPXW190515C02890000,58.9,18.8,58.2,60.4,3,6,SPXW190515P02890000,14.28,-7.47,14,14.8,50,157
SPXW190515C02895000,0,0,54.2,56.3,0,61,SPXW190515P02895000,14.58,-8.72,14.9,15.8,38,101
SPXW190515C02900000,40.1,6.7,50.2,52.2,8,323,SPXW190515P02900000,16.38,-8.62,16,16.9,75,233
SPXW190515C02905000,35.6,5.3,46.6,48.5,8,26,SPXW190515P02905000,16.92,-9.93,17.2,18.1,1,24
SPXW190515C02910000,33.3,6,42.7,44.6,3,367,SPXW190515P02910000,18.4,-10.4,18.4,19.4,11,85
SPXW190515C02915000,0,0,39.2,41,0,872,SPXW190515P02915000,20.45,-10.55,19.8,20.9,5,4
SPXW190515C02920000,26.8,5.1,35.8,37.6,4,305,SPXW190515P02920000,24,-9.3,21.2,22.6,28,28
SPXW190515C02925000,33.5,14.3,32.6,34.1,28,36,SPXW190515P02925000,23.36,-12.44,22.9,24.3,50,56
SPXW190515C02930000,29.12,12.22,29.5,30.9,7,451,SPXW190515P02930000,24.72,-13.68,24.8,26.2,5,25
SPXW190515C02935000,25.6,10.85,26.5,27.9,20,81,SPXW190515P02935000,28.1,-13.2,26.7,28.1,3,3
SPXW190515C02940000,24,11.15,23.8,25,15,697,SPXW190515P02940000,33.8,-10.55,28.7,30.4,1,1
SPXW190515C02945000,20.93,9.88,21.2,22.4,18,199,SPXW190515P02945000,0,0,31.1,32.8,0,0
SPXW190515C02950000,18.75,9.2,18.8,19.9,15,373,SPXW190515P02950000,0,0,33.5,35.3,0,0
SPXW190515C02955000,15.75,7.6,16.6,17.6,108,429,SPXW190515P02955000,0,0,36.3,38.3,0,0
SPXW190515C02960000,14.24,7.39,14.5,15.5,47,1485,SPXW190515P02960000,0,0,39.1,41.2,0,0
SPXW190515C02965000,13.16,7.31,12.6,13.5,39,121,SPXW190515P02965000,0,0,42.2,44.4,0,0
SPXW190515C02970000,10.75,5.9,11,11.8,29,31,SPXW190515P02970000,0,0,45.2,47.8,0,0
SPXW190515C02975000,10.1,6,9.4,10.2,31,89,SPXW190515P02975000,0,0,48.6,51.3,0,0
SPXW190515C02980000,8,4.55,8.1,8.8,25,31,SPXW190515P02980000,0,0,52.4,54.9,0,0
SPXW190515C02985000,0,0,6.9,7.6,0,137,SPXW190515P02985000,0,0,56.1,58.8,0,0
SPXW190515C02990000,6.4,4,5.9,6.5,15,371,SPXW190515P02990000,0,0,59.7,62.5,0,0
SPXW190515C03000000,0,0,4.2,4.7,0,1467,SPXW190515P03000000,0,0,67.9,70.9,0,1
SPXW190515C03010000,0,0,2.95,3.4,0,918,SPXW190515P03010000,0,0,76.5,79.6,0,0
SPXW190515C03020000,0,0,2.05,2.45,0,5,SPXW190515P03020000,0,0,85.8,89,0,0
SPXW190515C03025000,0,0,1.7,2.1,0,100,SPXW190515P03025000,0,0,90.4,93.6,0,0
SPXW190515C03030000,0,0,1.4,1.75,0,10,SPXW190515P03030000,0,0,95.1,98.4,0,0
SPXW190515C03040000,0,0,1,1.3,0,100,SPXW190515P03040000,0,0,104.3,107.7,0,0
SPXW190515C03050000,0.76,0.335,0.7,0.95,10,7,SPXW190515P03050000,0,0,114,117.4,0,0
SPXW190515C03075000,0,0,0.3,0.55,0,36,SPXW190515P03075000,0,0,138.5,142,0,0
SPXW190515C03100000,0,0,0.15,0.35,0,5,SPXW190515P03100000,0,0,163.3,166.8,0,0
SPXW190515C03125000,0,0,0.1,0.3,0,0,SPXW190515P03125000,0,0,188.2,191.6,0,0
SPXW190515C03150000,0,0,0.05,0.25,0,5,SPXW190515P03150000,0,0,213.1,216.6,0,0
SPXW190515C03175000,0,0,0.05,0.2,0,3,SPXW190515P03175000,0,0,238.1,241.5,0,0
SPXW190515C03200000,0.15,0.075,0,0.2,125,170,SPXW190515P03200000,0,0,263,266.5,0,0
SPXW190515C03250000,0,0,0,0.15,0,0,SPXW190515P03250000,0,0,312.9,316.4,0,0
SPXW190515C03300000,0,0,0,0.1,0,0,SPXW190515P03300000,0,0,362.8,366.3,0,0
SPXW190515C03400000,0,0,0,0.1,0,0,SPXW190515P03400000,0,0,462.6,466.1,0,0
SPX190517C00800000,0,0,2128.9,2132.6,0,0,SPX190517P00800000,0,0,0,0.15,0,0
SPXW190517C00800000,0,0,2129.1,2132.6,0,6,SPXW190517P00800000,0,0,0,0.05,0,0
SPX190517C00900000,0,0,2029.1,2032.8,0,1,SPX190517P00900000,0,0,0,0.15,0,0
SPXW190517C00900000,0,0,2029.3,2032.8,0,0,SPXW190517P00900000,0,0,0,0.05,0,0
SPX190517C01000000,0,0,1929.3,1933,0,10864,SPX190517P01000000,0,0,0,0.15,0,11801
SPXW190517C01000000,0,0,1929.5,1933,0,0,SPXW190517P01000000,0,0,0,0.05,0,1259
SPX190517C01050000,0,0,1879.3,1883.1,0,0,SPX190517P01050000,0,0,0,0.15,0,0
SPXW190517C01050000,0,0,1879.6,1883.1,0,0,SPXW190517P01050000,0,0,0,0.05,0,0
SPX190517C01100000,0,0,1829.7,1833.2,0,0,SPX190517P01100000,0,0,0,0.15,0,386
SPXW190517C01100000,0,0,1829.7,1833.2,0,0,SPXW190517P01100000,0,0,0,0.05,0,61
SPX190517C01150000,0,0,1779.8,1783.2,0,0,SPX190517P01150000,0,0,0,0.15,0,0
SPXW190517C01150000,0,0,1779.8,1783.2,0,0,SPXW190517P01150000,0,0,0,0.05,0,0
SPX190517C01200000,0,0,1729.9,1733.3,0,0,SPX190517P01200000,0,0,0,0.15,0,860
SPXW190517C01200000,0,0,1729.9,1733.3,0,0,SPXW190517P01200000,0,0,0,0.05,0,153
SPX190517C01250000,0,0,1679.9,1683.4,0,0,SPX190517P01250000,0,0,0,0.15,0,0
SPXW190517C01250000,0,0,1680,1683.4,0,0,SPXW190517P01250000,0,0,0,0.05,0,0
SPX190517C01300000,0,0,1629.8,1633.5,0,0,SPX190517P01300000,0,0,0,0.15,0,1007
SPXW190517C01300000,0,0,1630,1633.5,0,0,SPXW190517P01300000,0,0,0,0.05,0,34
SPX190517C01325000,0,0,1604.8,1608.6,0,0,SPX190517P01325000,0,0,0,0.15,0,50
SPXW190517C01325000,0,0,1605.1,1608.6,0,0,SPXW190517P01325000,0,0,0,0.05,0,27
SPX190517C01350000,0,0,1579.9,1583.6,0,0,SPX190517P01350000,0,0,0,0.15,0,61
SPXW190517C01350000,0,0,1580.1,1583.6,0,0,SPXW190517P01350000,0,0,0,0.05,0,93
SPX190517C01375000,0,0,1554.9,1558.7,0,0,SPX190517P01375000,0,0,0,0.2,0,46
SPXW190517C01375000,0,0,1555.2,1558.7,0,0,SPXW190517P01375000,0,0,0,0.05,0,350
SPX190517C01400000,0,0,1530,1533.7,0,0,SPX190517P01400000,0,0,0,0.2,0,14082
SPXW190517C01400000,0,0,1530.2,1533.7,0,0,SPXW190517P01400000,0,0,0,0.05,0,25
SPX190517C01425000,0,0,1505.3,1508.7,0,0,SPX190517P01425000,0,0,0,0.2,0,55
SPXW190517C01425000,0,0,1505.3,1508.7,0,0,SPXW190517P01425000,0,0,0,0.05,0,30
SPX190517C01450000,0,0,1480.1,1483.8,0,0,SPX190517P01450000,0,0,0,0.2,0,420
SPXW190517C01450000,0,0,1480.3,1483.8,0,0,SPXW190517P01450000,0,0,0,0.05,0,60
SPX190517C01475000,0,0,1455.4,1458.8,0,0,SPX190517P01475000,0,0,0,0.2,0,155
SPXW190517C01475000,0,0,1455.4,1458.8,0,1,SPXW190517P01475000,0,0,0,0.05,0,50
SPX190517C01500000,0,0,1430.2,1433.9,0,0,SPX190517P01500000,0,0,0,0.2,0,37834
SPXW190517C01500000,0,0,1430.4,1433.9,0,1,SPXW190517P01500000,0,0,0,0.1,0,6460
SPX190517C01525000,0,0,1405.5,1408.9,0,0,SPX190517P01525000,0,0,0,0.2,0,1612
SPXW190517C01525000,0,0,1405.5,1408.9,0,0,SPXW190517P01525000,0,0,0,0.1,0,117
SPX190517C01550000,0,0,1380.3,1384,0,0,SPX190517P01550000,0,0,0,0.2,0,12768
SPXW190517C01550000,0,0,1380.5,1384,0,0,SPXW190517P01550000,0,0,0,0.1,0,100
SPX190517C01575000,0,0,1355.6,1359,0,0,SPX190517P01575000,0,0,0,0.2,0,2875
SPXW190517C01575000,0,0,1355.6,1359,0,0,SPXW190517P01575000,0,0,0,0.1,0,126
SPX190517C01600000,0,0,1330.4,1334.1,0,0,SPX190517P01600000,0,0,0,0.2,0,11937
SPXW190517C01600000,0,0,1330.6,1334.1,0,0,SPXW190517P01600000,0,0,0,0.1,0,266
SPX190517C01625000,0,0,1305.7,1309.1,0,0,SPX190517P01625000,0,0,0,0.2,0,342
SPXW190517C01625000,0,0,1305.7,1309.1,0,0,SPXW190517P01625000,0,0,0,0.1,0,25
SPX190517C01650000,0,0,1280.4,1284.2,0,0,SPX190517P01650000,0,0,0,0.2,0,1470
SPXW190517C01650000,0,0,1280.7,1284.2,0,0,SPXW190517P01650000,0,0,0,0.1,0,31
SPX190517C01675000,0,0,1255.5,1259.2,0,0,SPX190517P01675000,0,0,0,0.2,0,491
SPXW190517C01675000,0,0,1255.7,1259.2,0,0,SPXW190517P01675000,0,0,0,0.1,0,1
SPX190517C01700000,0,0,1230.5,1234.3,0,1,SPX190517P01700000,0,0,0,0.25,0,12885
SPXW190517C01700000,0,0,1230.8,1234.3,0,0,SPXW190517P01700000,0,0,0,0.1,0,285
SPX190517C01725000,0,0,1205.6,1209.3,0,0,SPX190517P01725000,0,0,0,0.2,0,1688
SPXW190517C01725000,0,0,1205.8,1209.3,0,0,SPXW190517P01725000,0,0,0,0.1,0,3
SPX190517C01750000,0,0,1180.6,1184.4,0,0,SPX190517P01750000,0,0,0,0.2,0,778
SPXW190517C01750000,0,0,1180.9,1184.4,0,0,SPXW190517P01750000,0,0,0,0.1,0,77
SPX190517C01775000,0,0,1155.7,1159.4,0,0,SPX190517P01775000,0,0,0,0.25,0,1557
SPXW190517C01775000,0,0,1155.9,1159.4,0,0,SPXW190517P01775000,0,0,0,0.1,0,119
SPX190517C01800000,0,0,1130.7,1134.5,0,0,SPX190517P01800000,0,0,0,0.25,0,8933
SPXW190517C01800000,0,0,1131,1134.5,0,9,SPXW190517P01800000,0,0,0,0.1,0,492
SPX190517C01825000,0,0,1105.8,1109.5,0,0,SPX190517P01825000,0,0,0,0.25,0,1553
SPXW190517C01825000,0,0,1106,1109.5,0,0,SPXW190517P01825000,0,0,0,0.1,0,973
SPX190517C01840000,0,0,1091.1,1094.5,0,2,SPX190517P01840000,0,0,0,0.25,0,824
SPXW190517C01840000,0,0,1091.1,1094.5,0,0,SPXW190517P01840000,0,0,0,0.1,0,285
SPX190517C01850000,0,0,1081.1,1084.6,0,1,SPX190517P01850000,0,0,0,0.25,0,2455
SPXW190517C01850000,0,0,1081.1,1084.6,0,0,SPXW190517P01850000,0,0,0,0.1,0,2040
SPX190517C01860000,0,0,1070.8,1074.6,0,0,SPX190517P01860000,0,0,0,0.25,0,631
SPXW190517C01860000,0,0,1071.1,1074.6,0,0,SPXW190517P01860000,0,0,0,0.15,0,153
SPX190517C01870000,0,0,1060.9,1064.6,0,0,SPX190517P01870000,0,0,0,0.25,0,643
SPXW190517C01870000,0,0,1061.1,1064.6,0,0,SPXW190517P01870000,0.05,0,0,0.15,2,161
SPX190517C01875000,0,0,1055.9,1059.6,0,1,SPX190517P01875000,0,0,0,0.25,0,699
SPXW190517C01875000,0,0,1056.1,1059.6,0,0,SPXW190517P01875000,0.05,0,0,0.15,4,166
SPX190517C01880000,0,0,1050.9,1054.6,0,0,SPX190517P01880000,0.1,0.025,0,0.25,11,734
SPXW190517C01880000,0,0,1051.1,1054.6,0,0,SPXW190517P01880000,0.05,0,0,0.15,1,26
SPX190517C01890000,0,0,1041.2,1044.6,0,0,SPX190517P01890000,0.05,0,0,0.25,2,639
SPXW190517C01890000,0,0,1041.2,1044.6,0,0,SPXW190517P01890000,0,0,0,0.15,0,0
SPX190517C01900000,0,0,1031.2,1034.6,0,0,SPX190517P01900000,0.05,0,0,0.15,1,15808
SPXW190517C01900000,0,0,1031.2,1034.6,0,0,SPXW190517P01900000,0,0,0,0.15,0,58
SPX190517C01910000,0,0,1020.9,1024.7,0,0,SPX190517P01910000,0.05,0,0,0.25,2,682
SPXW190517C01910000,0,0,1021.2,1024.7,0,0,SPXW190517P01910000,0,0,0,0.15,0,27
SPX190517C01920000,0,0,1011,1014.7,0,1,SPX190517P01920000,0.05,0,0,0.25,1,467
SPXW190517C01920000,0,0,1011.2,1014.7,0,0,SPXW190517P01920000,0,0,0,0.15,0,48
SPX190517C01925000,0,0,1006,1009.7,0,0,SPX190517P01925000,0.05,-0.025,0,0.25,2,2206
SPXW190517C01925000,0,0,1006.2,1009.7,0,0,SPXW190517P01925000,0,0,0.05,0.15,0,80
SPX190517C01930000,0,0,1001,1004.7,0,0,SPX190517P01930000,0,0,0,0.25,0,542
SPXW190517C01930000,0,0,1001.2,1004.7,0,0,SPXW190517P01930000,0,0,0,0.15,0,31
SPX190517C01940000,0,0,991.3,994.7,0,0,SPX190517P01940000,0,0,0,0.25,0,878
SPXW190517C01940000,0,0,991.3,994.7,0,0,SPXW190517P01940000,0,0,0.05,0.15,0,2
